ranking,tipo_ranking,equipo,jugador,position,minutos,partidos,titularidades,goles,asistencias,pases_totales,recuperaciones,duelos_ganados,entradas_ganadas,intercepciones,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico,lectura_dashboard
24,Ranking defensivo LaLiga,Betis,Natan,Defender,2257.0,26.0,26.0,0.0,0.0,1143.0,81.0,100.0,16.0,31.0,2.2,27.74,50.57,25.65,Sostén defensivo,"Natan (Betis) aparece como sostén defensivo, con índice total 25.65. Su perfil permite valorar impacto individual dentro del modelo colectivo."
25,Ranking defensivo LaLiga,Girona,Vitor Reis,Defender,2418.0,28.0,27.0,1.0,0.0,1466.0,80.0,128.0,24.0,20.0,5.04,41.08,50.14,31.18,Sostén defensivo,"Vitor Reis (Girona) aparece como sostén defensivo, con índice total 31.18. Su perfil permite valorar impacto individual dentro del modelo colectivo."
1,Ranking total LaLiga,Barcelona,Lamine Yamal,Forward,2134.0,26.0,24.0,14.0,6.0,1299.0,94.0,210.0,21.0,10.0,74.06,67.36,40.23,61.57,Amenaza ofensiva,"Lamine Yamal (Barcelona) aparece como amenaza ofensiva, con índice total 61.57. Su perfil permite valorar impacto individual dentro del modelo colectivo."
2,Ranking total LaLiga,Betis,Pablo Fornals,Midfielder,2353.0,30.0,27.0,7.0,4.0,1451.0,121.0,85.0,24.0,28.0,43.73,60.74,41.03,48.87,Progresor / conector,"Pablo Fornals (Betis) aparece como progresor / conector, con índice total 48.87. Su perfil permite valorar impacto individual dentro del modelo colectivo."
3,Ranking total LaLiga,Real Madrid,Vinícius Júnior,Forward,2214.0,29.0,25.0,11.0,4.0,896.0,67.0,162.0,14.0,2.0,62.61,48.05,27.14,46.87,Amenaza ofensiva,"Vinícius Júnior (Real Madrid) aparece como amenaza ofensiva, con índice total 46.87. Su perfil permite valorar impacto individual dentro del modelo colectivo."
4,Ranking total LaLiga,Real Madrid,K. Mbappé,Forward,2142.0,25.0,24.0,23.0,3.0,825.0,40.0,103.0,1.0,2.0,81.77,35.59,14.58,45.45,Amenaza ofensiva,"K. Mbappé (Real Madrid) aparece como amenaza ofensiva, con índice total 45.45. Su perfil permite valorar impacto individual dentro del modelo colectivo."
5,Ranking total LaLiga,Real Madrid,A. Güler,Midfielder,1926.0,30.0,24.0,4.0,8.0,1258.0,97.0,102.0,27.0,8.0,48.9,53.23,31.79,45.28,Progresor / conector,"A. Güler (Real Madrid) aparece como progresor / conector, con índice total 45.28. Su perfil permite valorar impacto individual dentro del modelo colectivo."
6,Ranking total LaLiga,Getafe,Luis Milla,Midfielder,2564.0,29.0,29.0,0.0,8.0,1128.0,180.0,146.0,25.0,34.0,33.88,43.98,56.99,44.35,Sostén defensivo,"Luis Milla (Getafe) aparece como sostén defensivo, con índice total 44.35. Su perfil permite valorar impacto individual dentro del modelo colectivo."
7,Ranking total LaLiga,Barcelona,Pedri,Midfielder,1543.0,22.0,17.0,2.0,5.0,1510.0,122.0,112.0,23.0,19.0,29.45,63.3,39.1,44.19,Progresor / conector,"Pedri (Barcelona) aparece como progresor / conector, con índice total 44.19. Su perfil permite valorar impacto individual dentro del modelo colectivo."
8,Ranking total LaLiga,Barcelona,Eric García,Defender,2253.0,28.0,26.0,1.0,2.0,1900.0,100.0,127.0,37.0,39.0,16.27,60.52,56.24,43.75,Progresor / conector,"Eric García (Barcelona) aparece como progresor / conector, con índice total 43.75. Su perfil permite valorar impacto individual dentro del modelo colectivo."
9,Ranking total LaLiga,Elche,Aleix Febas,Midfielder,2565.0,29.0,29.0,2.0,0.0,1595.0,145.0,195.0,37.0,21.0,13.39,59.45,54.84,41.94,Progresor / conector,"Aleix Febas (Elche) aparece como progresor / conector, con índice total 41.94. Su perfil permite valorar impacto individual dentro del modelo colectivo."
10,Ranking total LaLiga,Real Madrid,F. Valverde,Midfielder,2296.0,28.0,26.0,4.0,4.0,1577.0,122.0,88.0,22.0,20.0,30.5,54.33,39.24,41.46,Progresor / conector,"F. Valverde (Real Madrid) aparece como progresor / conector, con índice total 41.46. Su perfil permite valorar impacto individual dentro del modelo colectivo."
11,Ranking total LaLiga,Girona,D. Blind,Defender,2377.0,28.0,27.0,0.0,0.0,1889.0,130.0,107.0,31.0,36.0,3.13,64.7,57.75,41.06,Progresor / conector,"D. Blind (Girona) aparece como progresor / conector, con índice total 41.06. Su perfil permite valorar impacto individual dentro del modelo colectivo."
12,Ranking total LaLiga,Alaves,Antonio Blanco,Midfielder,2411.0,28.0,28.0,1.0,2.0,1519.0,165.0,158.0,45.0,45.0,14.06,42.38,67.71,40.07,Sostén defensivo,"Antonio Blanco (Alaves) aparece como sostén defensivo, con índice total 40.07. Su perfil permite valorar impacto individual dentro del modelo colectivo."
13,Ranking total LaLiga,Rayo Vallecano,F. Lejeune,Defender,2691.0,30.0,30.0,0.0,0.0,1763.0,135.0,149.0,31.0,35.0,9.24,47.53,67.12,40.01,Sostén defensivo,"F. Lejeune (Rayo Vallecano) aparece como sostén defensivo, con índice total 40.01. Su perfil permite valorar impacto individual dentro del modelo colectivo."
