equipo,jugador,posicion,minutos,muestra_suficiente,perfil_jugador,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,ranking_total_laliga,ranking_ofensivo_laliga,ranking_progresion_laliga,ranking_defensivo_laliga,ranking_total_equipo,lectura_dashboard
Barcelona,Lamine Yamal,Forward,2134.0,Sí,Amenaza ofensiva,74.06,67.36,40.23,61.57,1,2,1,64,1,Lamine Yamal (Barcelona) aparece como amenaza ofensiva. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 1 en el ranking global de LaLiga.
Betis,Pablo Fornals,Midfielder,2353.0,Sí,Progresor / conector,43.73,60.74,41.03,48.87,2,8,5,55,1,Pablo Fornals (Betis) aparece como progresor / conector. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 2 en el ranking global de LaLiga.
Real Madrid,Vinícius Júnior,Forward,2214.0,Sí,Amenaza ofensiva,62.61,48.05,27.14,46.87,3,3,18,165,1,Vinícius Júnior (Real Madrid) aparece como amenaza ofensiva. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 3 en el ranking global de LaLiga.
Real Madrid,K. Mbappé,Forward,2142.0,Sí,Amenaza ofensiva,81.77,35.59,14.58,45.45,4,1,54,315,2,K. Mbappé (Real Madrid) aparece como amenaza ofensiva. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 4 en el ranking global de LaLiga.
Real Madrid,A. Güler,Midfielder,1926.0,Sí,Progresor / conector,48.9,53.23,31.79,45.28,5,6,11,127,3,A. Güler (Real Madrid) aparece como progresor / conector. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 5 en el ranking global de LaLiga.
Getafe,Luis Milla,Midfielder,2564.0,Sí,Sostén defensivo,33.88,43.98,56.99,44.35,6,26,24,10,1,Luis Milla (Getafe) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 6 en el ranking global de LaLiga.
Barcelona,Pedri,Midfielder,1543.0,Sí,Progresor / conector,29.45,63.3,39.1,44.19,7,42,4,72,2,Pedri (Barcelona) aparece como progresor / conector. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 7 en el ranking global de LaLiga.
Barcelona,Eric García,Defender,2253.0,Sí,Progresor / conector,16.27,60.52,56.24,43.75,8,105,7,13,3,Eric García (Barcelona) aparece como progresor / conector. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 8 en el ranking global de LaLiga.
Elche,Aleix Febas,Midfielder,2565.0,Sí,Progresor / conector,13.39,59.45,54.84,41.94,9,123,8,16,1,Aleix Febas (Elche) aparece como progresor / conector. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 9 en el ranking global de LaLiga.
Real Madrid,F. Valverde,Midfielder,2296.0,Sí,Progresor / conector,30.5,54.33,39.24,41.46,10,34,9,70,4,F. Valverde (Real Madrid) aparece como progresor / conector. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 10 en el ranking global de LaLiga.
Girona,D. Blind,Defender,2377.0,Sí,Progresor / conector,3.13,64.7,57.75,41.06,11,333,3,8,1,D. Blind (Girona) aparece como progresor / conector. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 11 en el ranking global de LaLiga.
Alaves,Antonio Blanco,Midfielder,2411.0,Sí,Sostén defensivo,14.06,42.38,67.71,40.07,12,118,28,1,1,Antonio Blanco (Alaves) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 12 en el ranking global de LaLiga.
Rayo Vallecano,F. Lejeune,Defender,2691.0,Sí,Sostén defensivo,9.24,47.53,67.12,40.01,13,182,19,2,1,F. Lejeune (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 13 en el ranking global de LaLiga.
Celta,Marcos Alonso,Defender,2154.0,Sí,Progresor / conector,6.3,66.82,46.58,39.56,14,245,2,36,1,Marcos Alonso (Celta) aparece como progresor / conector. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 14 en el ranking global de LaLiga.
Real Madrid,A. Tchouaméni,Midfielder,2240.0,Sí,Sostén defensivo,10.47,52.97,56.42,39.13,15,163,12,12,5,A. Tchouaméni (Real Madrid) aparece como sostén defensivo. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 15 en el ranking global de LaLiga.
Rayo Vallecano,A. Rațiu,Defender,2313.0,Sí,Sostén defensivo,20.14,43.65,54.12,38.56,16,78,25,17,2,A. Rațiu (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 16 en el ranking global de LaLiga.
Betis,Antony,Forward,1938.0,Sí,Amenaza ofensiva,43.26,36.62,32.8,37.8,17,9,51,118,2,Antony (Betis) aparece como amenaza ofensiva. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 17 en el ranking global de LaLiga.
Elche,D. Affengruber,Defender,2265.0,Sí,Sostén defensivo,2.99,47.26,66.3,37.48,18,338,21,4,2,D. Affengruber (Elche) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 18 en el ranking global de LaLiga.
Real Madrid,Álvaro Carreras,Defender,2064.0,Sí,Progresor / conector,12.96,51.75,48.1,37.08,19,131,13,30,6,Álvaro Carreras (Real Madrid) aparece como progresor / conector. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 19 en el ranking global de LaLiga.
Alaves,Jonny,Defender,2548.0,Sí,Sostén defensivo,5.34,50.18,56.72,36.45,20,270,15,11,2,Jonny (Alaves) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 20 en el ranking global de LaLiga.
Elche,Germán Valera,Forward,2318.0,Sí,Sostén defensivo,30.38,35.59,44.01,36.3,21,35,54,45,3,Germán Valera (Elche) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 21 en el ranking global de LaLiga.
Barcelona,Dani Olmo,Midfielder,1605.0,Sí,Amenaza ofensiva,41.85,36.21,29.75,36.25,22,11,52,136,4,Dani Olmo (Barcelona) aparece como amenaza ofensiva. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 22 en el ranking global de LaLiga.
Espanyol,Carlos Romero,Defender,2490.0,Sí,Sostén defensivo,21.35,29.57,60.05,35.84,23,72,95,7,1,Carlos Romero (Espanyol) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 23 en el ranking global de LaLiga.
Barcelona,J. Koundé,Defender,1931.0,Sí,Progresor / conector,18.41,48.76,40.23,35.58,24,89,16,64,5,J. Koundé (Barcelona) aparece como progresor / conector. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 24 en el ranking global de LaLiga.
Espanyol,Edu Expósito,Midfielder,1909.0,Sí,Progresor / conector,32.07,39.51,34.78,35.48,25,30,40,101,2,Edu Expósito (Espanyol) aparece como progresor / conector. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 25 en el ranking global de LaLiga.
Barcelona,Pau Cubarsí,Defender,2196.0,Sí,Progresor / conector,3.71,60.7,43.1,35.47,26,316,6,48,6,Pau Cubarsí (Barcelona) aparece como progresor / conector. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 26 en el ranking global de LaLiga.
Real sociedad,Mikel Oyarzabal,Forward,2274.0,Sí,Amenaza ofensiva,50.13,28.07,25.44,35.0,27,4,113,187,1,Mikel Oyarzabal (Real sociedad) aparece como amenaza ofensiva. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 27 en el ranking global de LaLiga.
Real sociedad,Sergio Gómez,Forward,2155.0,Sí,Sostén defensivo,11.15,44.03,52.25,34.99,28,154,23,21,2,Sergio Gómez (Real sociedad) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 28 en el ranking global de LaLiga.
Athletic Club,Mikel Jauregizar,Midfielder,2345.0,Sí,Sostén defensivo,11.34,37.87,57.74,34.55,29,152,47,9,1,Mikel Jauregizar (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 29 en el ranking global de LaLiga.
Villareal,N. Pépé,Forward,1940.0,Sí,Amenaza ofensiva,40.49,30.32,32.43,34.51,30,13,91,121,1,N. Pépé (Villareal) aparece como amenaza ofensiva. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 30 en el ranking global de LaLiga.
Real sociedad,J. Aramburu,Defender,2301.0,Sí,Sostén defensivo,6.76,34.21,66.76,34.37,31,236,63,3,3,J. Aramburu (Real sociedad) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 31 en el ranking global de LaLiga.
Rayo Vallecano,Pep Chavarría,Defender,2195.0,Sí,Sostén defensivo,12.85,43.6,47.0,33.86,32,132,26,32,3,Pep Chavarría (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 32 en el ranking global de LaLiga.
Villareal,Santi Comesaña,Midfielder,1984.0,Sí,Sostén defensivo,23.99,38.63,39.58,33.79,33,63,42,68,2,Santi Comesaña (Villareal) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 33 en el ranking global de LaLiga.
Atletico Madrid,Koke,Midfielder,1771.0,Sí,Progresor / conector,13.66,53.55,31.91,33.09,34,120,10,125,1,Koke (Atletico Madrid) aparece como progresor / conector. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 34 en el ranking global de LaLiga.
Barcelona,F. de Jong,Midfielder,1496.0,Sí,Progresor / conector,19.93,50.31,28.16,33.03,35,79,14,153,7,F. de Jong (Barcelona) aparece como progresor / conector. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 35 en el ranking global de LaLiga.
Getafe,Juan Iglesias,Defender,2473.0,Sí,Sostén defensivo,11.88,28.36,62.85,32.94,36,143,111,6,2,Juan Iglesias (Getafe) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 36 en el ranking global de LaLiga.
Getafe,M. Arambarri,Midfielder,2634.0,Sí,Sostén defensivo,24.5,23.46,53.29,32.77,37,62,157,19,3,M. Arambarri (Getafe) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 37 en el ranking global de LaLiga.
Atletico Madrid,G. Simeone,Forward,1919.0,Sí,Sostén defensivo,34.81,27.06,37.06,32.77,37,21,125,86,2,G. Simeone (Atletico Madrid) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 37 en el ranking global de LaLiga.
Athletic Club,Yuri,Defender,2205.0,Sí,Sostén defensivo,10.45,40.43,49.45,32.64,39,165,34,27,2,Yuri (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 39 en el ranking global de LaLiga.
Sevilla,José Ángel Carmona,Defender,2045.0,Sí,Sostén defensivo,13.8,31.28,55.31,32.37,40,119,80,15,1,José Ángel Carmona (Sevilla) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 40 en el ranking global de LaLiga.
Osasuna,Alejandro Catena,Defender,2443.0,Sí,Sostén defensivo,10.01,35.32,54.02,32.07,41,172,57,18,1,Alejandro Catena (Osasuna) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 41 en el ranking global de LaLiga.
Atletico Madrid,Marcos Llorente,Midfielder,1862.0,Sí,Progresor / conector,18.66,42.13,35.26,31.86,42,86,29,97,3,Marcos Llorente (Atletico Madrid) aparece como progresor / conector. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 42 en el ranking global de LaLiga.
Mallorca,V. Muriqi,Forward,2414.0,Sí,Amenaza ofensiva,49.96,14.86,29.58,31.56,43,5,263,141,1,V. Muriqi (Mallorca) aparece como amenaza ofensiva. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 43 en el ranking global de LaLiga.
Villareal,S. Mouriño,Defender,1946.0,Sí,Sostén defensivo,4.72,31.13,62.98,31.44,44,288,81,5,3,S. Mouriño (Villareal) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 44 en el ranking global de LaLiga.
Sevilla,L. Agoumé,Midfielder,2063.0,Sí,Sostén defensivo,10.83,38.53,46.81,31.32,45,160,44,33,2,L. Agoumé (Sevilla) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 45 en el ranking global de LaLiga.
Levante,Adrián de la Fuente,Defender,2094.0,Sí,Sostén defensivo,10.46,38.6,46.77,31.2,46,164,43,35,1,Adrián de la Fuente (Levante) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 46 en el ranking global de LaLiga.
Girona,Vitor Reis,Defender,2418.0,Sí,Sostén defensivo,5.04,41.08,50.14,31.18,47,281,32,25,2,Vitor Reis (Girona) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 47 en el ranking global de LaLiga.
Barcelona,Fermín López,Midfielder,1363.0,Sí,Progresor / conector,34.65,34.76,22.54,31.05,48,24,59,214,8,Fermín López (Barcelona) aparece como progresor / conector. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 48 en el ranking global de LaLiga.
Espanyol,L. Cabrera,Defender,2610.0,Sí,Sostén defensivo,13.12,36.04,45.86,30.96,49,129,53,38,3,L. Cabrera (Espanyol) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 49 en el ranking global de LaLiga.
Girona,Arnau Martínez,Defender,2028.0,Sí,Sostén defensivo,9.49,34.61,51.38,30.85,50,178,60,23,3,Arnau Martínez (Girona) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 50 en el ranking global de LaLiga.
Mallorca,J. Mojica,Defender,2222.0,Sí,Sostén defensivo,11.83,37.78,44.83,30.81,51,144,48,40,2,J. Mojica (Mallorca) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 51 en el ranking global de LaLiga.
Real Madrid,Dean Huijsen,Defender,1648.0,Sí,Progresor / conector,9.86,48.46,33.51,30.47,52,175,17,111,7,Dean Huijsen (Real Madrid) aparece como progresor / conector. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 52 en el ranking global de LaLiga.
Atletico Madrid,D. Hancko,Defender,2119.0,Sí,Progresor / conector,12.4,41.81,38.21,30.43,53,136,31,79,4,D. Hancko (Atletico Madrid) aparece como progresor / conector. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 53 en el ranking global de LaLiga.
Mallorca,M. Valjent,Defender,2700.0,Sí,Sostén defensivo,3.81,43.37,45.26,30.09,54,312,27,39,3,M. Valjent (Mallorca) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 54 en el ranking global de LaLiga.
Athletic Club,Íñigo Ruíz de Galarreta,Midfielder,1772.0,Sí,Sostén defensivo,9.45,39.97,42.37,30.01,55,179,36,51,3,Íñigo Ruíz de Galarreta (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 55 en el ranking global de LaLiga.
Girona,V. Tsygankov,Forward,1931.0,Sí,Amenaza ofensiva,32.92,27.98,28.96,30.0,56,28,114,145,4,V. Tsygankov (Girona) aparece como amenaza ofensiva. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 56 en el ranking global de LaLiga.
Alaves,N. Tenaglia,Defender,2519.0,Sí,Sostén defensivo,5.61,32.42,55.44,29.94,57,266,70,14,3,N. Tenaglia (Alaves) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 57 en el ranking global de LaLiga.
Osasuna,Jon Moncayola,Midfielder,2360.0,Sí,Progresor / conector,16.07,38.34,36.27,29.92,58,107,46,91,2,Jon Moncayola (Osasuna) aparece como progresor / conector. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 58 en el ranking global de LaLiga.
Villareal,P. Gueye,Midfielder,1686.0,Sí,Sostén defensivo,17.63,33.33,40.26,29.91,59,94,67,63,4,P. Gueye (Villareal) aparece como sostén defensivo. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 59 en el ranking global de LaLiga.
Villareal,Alberto Moleiro,Midfielder,1975.0,Sí,Amenaza ofensiva,33.38,31.91,23.47,29.89,60,27,74,207,5,Alberto Moleiro (Villareal) aparece como amenaza ofensiva. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 60 en el ranking global de LaLiga.
Real Madrid,J. Bellingham,Midfielder,1338.0,Sí,Sostén defensivo,25.94,29.55,34.78,29.86,61,55,98,101,8,J. Bellingham (Real Madrid) aparece como sostén defensivo. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 61 en el ranking global de LaLiga.
Athletic Club,Dani Vivian,Defender,2188.0,Sí,Sostén defensivo,5.64,35.27,51.49,29.77,62,265,58,22,4,Dani Vivian (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 62 en el ranking global de LaLiga.
Mallorca,Samú Costa,Midfielder,2121.0,Sí,Sostén defensivo,15.56,26.99,49.58,29.77,62,110,126,26,4,Samú Costa (Mallorca) aparece como sostén defensivo. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 62 en el ranking global de LaLiga.
Athletic Club,Alex Berenguer,Forward,1858.0,Sí,Amenaza ofensiva,31.41,29.42,27.28,29.47,64,32,99,163,5,Alex Berenguer (Athletic Club) aparece como amenaza ofensiva. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 64 en el ranking global de LaLiga.
Atletico Madrid,J. Alvarez,Forward,1902.0,Sí,Amenaza ofensiva,37.59,31.29,17.39,29.32,65,17,79,269,5,J. Alvarez (Atletico Madrid) aparece como amenaza ofensiva. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 65 en el ranking global de LaLiga.
Betis,A. Ezzalzouli,Forward,1565.0,Sí,Sostén defensivo,29.59,24.14,34.87,29.27,66,41,150,100,3,A. Ezzalzouli (Betis) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 66 en el ranking global de LaLiga.
Osasuna,Víctor Muñoz,Forward,2309.0,Sí,Amenaza ofensiva,30.61,26.89,29.71,29.04,67,33,127,138,3,Víctor Muñoz (Osasuna) aparece como amenaza ofensiva. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 67 en el ranking global de LaLiga.
Espanyol,O. El Hilali,Defender,2187.0,Sí,Sostén defensivo,8.06,30.93,49.27,28.43,68,210,85,28,4,O. El Hilali (Espanyol) aparece como sostén defensivo. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 68 en el ranking global de LaLiga.
Celta,Sergio Carreira,Defender,2041.0,Sí,Progresor / conector,12.63,39.74,33.2,28.29,69,134,39,115,2,Sergio Carreira (Celta) aparece como progresor / conector. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 69 en el ranking global de LaLiga.
Levante,J. Toljan,Defender,2520.0,Sí,Sostén defensivo,15.49,27.94,43.43,28.23,70,111,116,47,2,J. Toljan (Levante) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 70 en el ranking global de LaLiga.
Rayo Vallecano,Isi Palazón,Midfielder,2104.0,Sí,Progresor / conector,26.34,30.98,26.76,28.09,71,53,84,170,4,Isi Palazón (Rayo Vallecano) aparece como progresor / conector. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 71 en el ranking global de LaLiga.
Sevilla,G. Suazo,Defender,1581.0,Sí,Sostén defensivo,11.95,27.47,47.58,28.07,72,142,122,31,3,G. Suazo (Sevilla) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 72 en el ranking global de LaLiga.
Barcelona,M. Rashford,Forward,1416.0,Sí,Amenaza ofensiva,44.56,24.76,12.67,28.06,73,7,141,347,9,M. Rashford (Barcelona) aparece como amenaza ofensiva. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 73 en el ranking global de LaLiga.
Atletico Madrid,Pablo Barrios,Midfielder,1580.0,Sí,Progresor / conector,12.59,37.35,35.23,28.05,74,135,50,98,6,Pablo Barrios (Atletico Madrid) aparece como progresor / conector. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 74 en el ranking global de LaLiga.
Celta,Óscar Mingueza,Defender,1659.0,Sí,Progresor / conector,16.17,41.97,25.42,27.97,75,106,30,188,3,Óscar Mingueza (Celta) aparece como progresor / conector. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 75 en el ranking global de LaLiga.
Levante,Manu Sánchez,Defender,2267.0,Sí,Sostén defensivo,9.96,24.21,53.24,27.93,76,173,149,20,3,Manu Sánchez (Levante) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 76 en el ranking global de LaLiga.
Espanyol,T. Dolan,Forward,1992.0,Sí,Sostén defensivo,23.54,22.7,38.13,27.62,77,64,168,80,5,T. Dolan (Espanyol) aparece como sostén defensivo. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 77 en el ranking global de LaLiga.
Betis,Marc Bartra,Defender,1856.0,Sí,Sostén defensivo,5.05,33.34,46.81,27.48,78,280,66,33,4,Marc Bartra (Betis) aparece como sostén defensivo. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 78 en el ranking global de LaLiga.
Mallorca,Sergi Darder,Midfielder,2013.0,Sí,Progresor / conector,22.8,31.9,27.73,27.46,79,69,75,157,5,Sergi Darder (Mallorca) aparece como progresor / conector. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 79 en el ranking global de LaLiga.
Sevilla,Kike Salas,Defender,1483.0,Sí,Sostén defensivo,5.95,30.49,48.73,27.37,80,255,89,29,4,Kike Salas (Sevilla) aparece como sostén defensivo. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 80 en el ranking global de LaLiga.
Valencia,Pepelu,Midfielder,1710.0,Sí,Sostén defensivo,9.21,35.43,39.09,27.35,81,183,56,73,1,Pepelu (Valencia) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 81 en el ranking global de LaLiga.
Barcelona,Raphinha,Forward,1299.0,Sí,Amenaza ofensiva,42.75,24.69,12.46,27.34,82,10,143,349,10,Raphinha (Barcelona) aparece como amenaza ofensiva. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 82 en el ranking global de LaLiga.
Alaves,Toni Martínez,Forward,2045.0,Sí,Amenaza ofensiva,34.04,14.67,33.92,27.22,83,25,267,106,4,Toni Martínez (Alaves) aparece como amenaza ofensiva. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 83 en el ranking global de LaLiga.
Real sociedad,Carlos Soler,Midfielder,1701.0,Sí,Progresor / conector,27.84,30.02,23.2,27.21,84,47,93,210,4,Carlos Soler (Real sociedad) aparece como progresor / conector. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 84 en el ranking global de LaLiga.
Real sociedad,Jon Gorrotxategi,Midfielder,1912.0,Sí,Sostén defensivo,7.16,31.78,44.65,27.02,85,225,76,42,5,Jon Gorrotxategi (Real sociedad) aparece como sostén defensivo. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 85 en el ranking global de LaLiga.
Alaves,Pablo Ibáñez,Midfielder,1831.0,Sí,Sostén defensivo,14.16,27.4,41.0,26.85,86,117,123,56,5,Pablo Ibáñez (Alaves) aparece como sostén defensivo. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 86 en el ranking global de LaLiga.
Levante,Carlos Álvarez,Midfielder,1795.0,Sí,Progresor / conector,20.61,33.76,25.95,26.81,87,75,65,181,4,Carlos Álvarez (Levante) aparece como progresor / conector. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 87 en el ranking global de LaLiga.
Girona,Iván Martín,Midfielder,2014.0,Sí,Sostén defensivo,8.58,33.07,40.6,26.76,88,194,68,62,5,Iván Martín (Girona) aparece como sostén defensivo. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 88 en el ranking global de LaLiga.
Real sociedad,Ander Barrenetxea,Forward,1428.0,Sí,Amenaza ofensiva,27.76,26.04,26.28,26.71,89,49,135,176,6,Ander Barrenetxea (Real sociedad) aparece como amenaza ofensiva. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 89 en el ranking global de LaLiga.
Rayo Vallecano,Álvaro García,Midfielder,1983.0,Sí,Amenaza ofensiva,38.31,16.58,24.72,26.63,90,16,238,196,5,Álvaro García (Rayo Vallecano) aparece como amenaza ofensiva. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 90 en el ranking global de LaLiga.
Oviedo,F. Viñas,Forward,1854.0,Sí,Sostén defensivo,28.54,11.96,41.44,26.61,91,44,297,53,1,F. Viñas (Oviedo) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 91 en el ranking global de LaLiga.
Real sociedad,Gonçalo Guedes,Forward,1776.0,Sí,Amenaza ofensiva,35.2,23.06,19.76,26.32,92,20,163,235,7,Gonçalo Guedes (Real sociedad) aparece como amenaza ofensiva. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 92 en el ranking global de LaLiga.
Betis,C. Hernández,Forward,2073.0,Sí,Amenaza ofensiva,35.35,17.56,25.88,26.28,93,19,229,182,5,C. Hernández (Betis) aparece como amenaza ofensiva. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 93 en el ranking global de LaLiga.
Elche,Pedro Bigas,Defender,1610.0,Sí,Progresor / conector,5.92,38.53,35.63,26.25,94,256,44,95,4,Pedro Bigas (Elche) aparece como progresor / conector. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 94 en el ranking global de LaLiga.
Osasuna,V. Rosier,Defender,1846.0,Sí,Sostén defensivo,8.68,28.51,44.06,26.24,95,191,109,44,4,V. Rosier (Osasuna) aparece como sostén defensivo. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 95 en el ranking global de LaLiga.
Celta,Javi Rodríguez,Defender,1931.0,Sí,Progresor / conector,5.76,39.9,33.91,26.15,96,260,37,107,4,Javi Rodríguez (Celta) aparece como progresor / conector. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 96 en el ranking global de LaLiga.
Osasuna,A. Budimir,Forward,2290.0,Sí,Amenaza ofensiva,41.84,9.94,26.56,26.09,97,12,330,173,5,A. Budimir (Osasuna) aparece como amenaza ofensiva. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 97 en el ranking global de LaLiga.
Girona,Álex Moreno,Defender,1957.0,Sí,Sostén defensivo,10.35,32.0,37.16,25.97,98,167,73,85,6,Álex Moreno (Girona) aparece como sostén defensivo. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 98 en el ranking global de LaLiga.
Osasuna,Aimar Oroz,Midfielder,1709.0,Sí,Sostén defensivo,16.52,30.81,30.95,25.85,99,102,87,130,6,Aimar Oroz (Osasuna) aparece como sostén defensivo. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 99 en el ranking global de LaLiga.
Valencia,Luis Rioja,Forward,2053.0,Sí,Sostén defensivo,25.57,22.47,29.75,25.74,100,56,169,136,2,Luis Rioja (Valencia) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 100 en el ranking global de LaLiga.
Betis,Natan,Defender,2257.0,Sí,Sostén defensivo,2.2,27.74,50.57,25.65,101,365,118,24,6,Natan (Betis) aparece como sostén defensivo. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 101 en el ranking global de LaLiga.
Betis,Aitor Ruibal,Forward,1604.0,Sí,Sostén defensivo,20.66,22.96,34.36,25.58,102,74,165,103,7,Aitor Ruibal (Betis) aparece como sostén defensivo. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 102 en el ranking global de LaLiga.
