equipo,jugador,posicion,minutos,muestra_suficiente,perfil_jugador,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,ranking_total_laliga,ranking_ofensivo_laliga,ranking_progresion_laliga,ranking_defensivo_laliga,ranking_total_equipo,lectura_dashboard
Osasuna,Moi Gómez,Forward,977.0,Sí,Progresor / conector,3.17,25.92,18.0,15.58,247,331,136,262,13,Moi Gómez (Osasuna) aparece como progresor / conector. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 247 en el ranking global de LaLiga.
Celta,Hugo Álvarez,Midfielder,1007.0,Sí,Progresor / conector,15.09,18.12,12.96,15.51,248,113,220,343,14,Hugo Álvarez (Celta) aparece como progresor / conector. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 248 en el ranking global de LaLiga.
Rayo Vallecano,Pedro Díaz,Midfielder,1410.0,Sí,Sostén defensivo,7.07,19.16,21.08,15.5,249,231,204,224,13,Pedro Díaz (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 249 en el ranking global de LaLiga.
Atletico Madrid,J. Oblak,Goalkeeper,2340.0,Sí,Progresor / conector,0.0,26.18,21.01,15.47,250,429,133,225,19,J. Oblak (Atletico Madrid) aparece como progresor / conector. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 250 en el ranking global de LaLiga.
Oviedo,Lucas Ahijado,Defender,968.0,Sí,Sostén defensivo,5.28,14.09,28.9,15.45,251,274,272,147,12,Lucas Ahijado (Oviedo) aparece como sostén defensivo. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 251 en el ranking global de LaLiga.
Girona,Joel Roca,Midfielder,1036.0,Sí,Sostén defensivo,14.64,14.52,17.46,15.44,252,115,269,267,13,Joel Roca (Girona) aparece como sostén defensivo. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 252 en el ranking global de LaLiga.
Elche,L. Pétrot,Defender,1338.0,Sí,Sostén defensivo,1.04,18.49,28.47,15.38,253,388,211,150,13,L. Pétrot (Elche) aparece como sostén defensivo. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 253 en el ranking global de LaLiga.
Girona,V. Vanat,Forward,1960.0,Sí,Amenaza ofensiva,27.4,7.63,10.34,15.36,254,50,368,368,14,V. Vanat (Girona) aparece como amenaza ofensiva. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 254 en el ranking global de LaLiga.
Sevilla,O. Vlachodimos,Goalkeeper,2340.0,Sí,Progresor / conector,0.0,26.13,20.64,15.34,255,429,134,228,11,O. Vlachodimos (Sevilla) aparece como progresor / conector. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 255 en el ranking global de LaLiga.
Valencia,L. Beltrán,Midfielder,1160.0,Sí,Sostén defensivo,14.66,13.14,18.68,15.34,255,114,282,250,10,L. Beltrán (Valencia) aparece como sostén defensivo. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 255 en el ranking global de LaLiga.
