equipo,jugador,position,minutos,partidos,titularidades,goles,asistencias,pases_totales,recuperaciones,duelos_ganados,entradas_ganadas,intercepciones,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico,lectura_dashboard
Atletico Madrid,C. Gallagher,Midfielder,665.0,19.0,4.0,2.0,0.0,359.0,35.0,39.0,12.0,11.0,7.08,10.02,16.23,10.85,Rotación / impacto bajo,"C. Gallagher (Atletico Madrid) aparece como rotación / impacto bajo, con índice total 10.85. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Mallorca,Antonio Sánchez,Midfielder,966.0,25.0,9.0,0.0,0.0,326.0,63.0,37.0,9.0,11.0,3.66,11.04,18.53,10.7,Rotación / impacto bajo,"Antonio Sánchez (Mallorca) aparece como rotación / impacto bajo, con índice total 10.70. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,Dani Ceballos,Midfielder,466.0,15.0,4.0,0.0,0.0,438.0,37.0,37.0,11.0,7.0,2.49,15.9,14.1,10.67,Rotación / impacto bajo,"Dani Ceballos (Real Madrid) aparece como rotación / impacto bajo, con índice total 10.67. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Athletic Club,Unai Vencedor,Midfielder,818.0,16.0,11.0,0.0,0.0,416.0,39.0,48.0,13.0,6.0,2.75,13.76,16.29,10.66,Rotación / impacto bajo,"Unai Vencedor (Athletic Club) aparece como rotación / impacto bajo, con índice total 10.66. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Levante,Unai Vencedor,Midfielder,818.0,16.0,11.0,0.0,0.0,416.0,39.0,48.0,13.0,6.0,2.75,13.76,16.29,10.66,Rotación / impacto bajo,"Unai Vencedor (Levante) aparece como rotación / impacto bajo, con índice total 10.66. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real sociedad,Pablo Marín,Midfielder,1124.0,26.0,12.0,0.0,1.0,302.0,43.0,47.0,11.0,5.0,6.51,10.91,15.17,10.65,Rotación / impacto bajo,"Pablo Marín (Real sociedad) aparece como rotación / impacto bajo, con índice total 10.65. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Levante,Carlos Espí,Forward,649.0,17.0,5.0,7.0,0.0,118.0,24.0,60.0,3.0,4.0,17.86,2.85,11.21,10.61,Rotación / impacto bajo,"Carlos Espí (Levante) aparece como rotación / impacto bajo, con índice total 10.61. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Villareal,I. Akhomach,Forward,704.0,17.0,7.0,0.0,0.0,211.0,33.0,66.0,14.0,2.0,6.21,10.81,15.4,10.58,Rotación / impacto bajo,"I. Akhomach (Villareal) aparece como rotación / impacto bajo, con índice total 10.58. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,I. Akhomach,Forward,704.0,17.0,7.0,0.0,0.0,211.0,33.0,66.0,14.0,2.0,6.21,10.81,15.4,10.58,Rotación / impacto bajo,"I. Akhomach (Rayo Vallecano) aparece como rotación / impacto bajo, con índice total 10.58. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Levante,A. Matturro,Defender,834.0,16.0,9.0,1.0,0.0,397.0,51.0,45.0,12.0,6.0,3.01,9.46,20.65,10.56,Rotación / impacto bajo,"A. Matturro (Levante) aparece como rotación / impacto bajo, con índice total 10.56. Su perfil permite valorar impacto individual dentro del modelo colectivo."
